Train Step:0,Loss:0.3269777192124005,ACC:0.8860888721723712,MCC:0.7742190107345287,AUC:0.9451014180646106,TP:0.9326134137949288,TN:0.8381430363864492,FP:0.1618569636135508,FN:0.0673865862050712
Train Step:1,Loss:0.276698325351737,ACC:0.8863575304927194,MCC:0.7773594425280789,AUC:0.947955753653732,TP:0.9503996612143348,TN:0.8203589547760624,FP:0.1796410452239376,FN:0.04960033878566513
Train Step:2,Loss:0.27169524991306765,ACC:0.890548600290151,MCC:0.7819725840695038,AUC:0.9494196268576154,TP:0.9251495421099994,TN:0.8548906224428564,FP:0.14510937755714365,FN:0.07485045789000053
Train Step:3,Loss:0.2678077204217171,ACC:0.8894471011767234,MCC:0.7787639083620291,AUC:0.9505104784424886,TP:0.9020168334127362,TN:0.8764933718836943,FP:0.12350662811630571,FN:0.09798316658726378
Train Step:4,Loss:0.26558424303757733,ACC:0.8916232335715437,MCC:0.783446548506528,AUC:0.9515076587872774,TP:0.9156741305383516,TN:0.8668375975124106,FP:0.13316240248758934,FN:0.0843258694616484
Train Step:5,Loss:0.2612110140508619,ACC:0.8916232335715437,MCC:0.786814131120084,AUC:0.9527159232107041,TP:0.9487586681488539,TN:0.8327423490262397,FP:0.1672576509737603,FN:0.05124133185114605
Train Step:6,Loss:0.25919623207943193,ACC:0.890844124442534,MCC:0.7867027448612498,AUC:0.9534526202608703,TP:0.9564872161346673,TN:0.8231956794501119,FP:0.17680432054988818,FN:0.0435127838653327
Train Step:7,Loss:0.25708067569581944,ACC:0.8909247219386385,MCC:0.7870992237790737,AUC:0.9539423587718028,TP:0.9578105976390874,TN:0.8219955267033986,FP:0.17800447329660138,FN:0.042189402360912606
Train Step:8,Loss:0.25570428796198175,ACC:0.8920530868841008,MCC:0.7842358850867263,AUC:0.9524563351171427,TP:0.914509554814462,TN:0.8689105886203699,FP:0.13108941137963012,FN:0.08549044518553808
Train Step:9,Loss:0.25384474555137515,ACC:0.8955187792165923,MCC:0.7930471544113927,AUC:0.9546611763465782,TP:0.9410830554232174,TN:0.848562544323823,FP:0.15143745567617697,FN:0.05891694457678259
Train Step:10,Loss:0.2516133209412125,ACC:0.8957874375369406,MCC:0.7936953776735948,AUC:0.9552708616926171,TP:0.9422476311471071,TN:0.8479079155528886,FP:0.15209208444711145,FN:0.057752368852892914
Train Step:11,Loss:0.24908206500541205,ACC:0.8945516092633389,MCC:0.7918139479313353,AUC:0.9552984411046688,TP:0.9456354877984225,TN:0.8419071518193224,FP:0.15809284818067754,FN:0.054364512201577474
Train Step:12,Loss:0.24743493664367447,ACC:0.8936650368061899,MCC:0.7872444561138563,AUC:0.9548430075647291,TP:0.9090572230162511,TN:0.8778026294255633,FP:0.12219737057443675,FN:0.09094277698374888
Train Step:13,Loss:0.2439230637817547,ACC:0.8941217559507818,MCC:0.7910757573873283,AUC:0.9543559994170334,TP:0.9461119051400138,TN:0.8405433418798757,FP:0.15945665812012438,FN:0.05388809485998624
Train Step:14,Loss:0.2422327094807707,ACC:0.8954381817204878,MCC:0.791203251034671,AUC:0.9543811588984742,TP:0.921761685458684,TN:0.8683105122470133,FP:0.13168948775298675,FN:0.07823831454131597
Train Step:15,Loss:0.23952232243857163,ACC:0.8962172908494976,MCC:0.7924571517531542,AUC:0.9559011438824294,TP:0.9156211952781748,TN:0.876220609895805,FP:0.12377939010419509,FN:0.08437880472182521
Train Step:16,Loss:0.23545126124531374,ACC:0.89511579173607,MCC:0.7945045977668337,AUC:0.9554488854185118,TP:0.9562225398337832,TN:0.8321422726528831,FP:0.1678577273471169,FN:0.04377746016621672
Train Step:17,Loss:0.23242039737002604,ACC:0.887888882918704,MCC:0.7764551549797506,AUC:0.9555469893477224,TP:0.8747551744216823,TN:0.9014238175767825,FP:0.0985761824232175,FN:0.12524482557831773
Train Step:18,Loss:0.2288783021785062,ACC:0.8926710010209016,MCC:0.7852889532310128,AUC:0.9558891236423724,TP:0.8946058969879837,TN:0.8906769952539414,FP:0.10932300474605859,FN:0.10539410301201631
Train Step:19,Loss:0.22345633787670355,ACC:0.8965396808339154,MCC:0.7940057793605381,AUC:0.9549836003352801,TP:0.9313959028108623,TN:0.8606186241885331,FP:0.13938137581146692,FN:0.06860409718913768
Train Step:20,Loss:0.2185521901852783,ACC:0.8951426575681048,MCC:0.7906368942918963,AUC:0.9537304170327932,TP:0.9219204912392145,TN:0.867546778680923,FP:0.13245322131907697,FN:0.07807950876078557
Train Step:21,Loss:0.21246715577683228,ACC:0.894981462575896,MCC:0.7902333955715354,AUC:0.9528029742945525,TP:0.9202794981737336,TN:0.8689105886203699,FP:0.13108941137963012,FN:0.07972050182626647
Train Step:22,Loss:0.20572762222982002,ACC:0.8906560636182903,MCC:0.7811827294510163,AUC:0.9531064951021342,TP:0.8970409189561167,TN:0.8840761551470188,FP:0.1159238448529813,FN:0.10295908104388334
Train Step:23,Loss:0.1974824521091135,ACC:0.8933963784858417,MCC:0.7872396551980061,AUC:0.951704214619014,TP:0.9218675559790377,TN:0.8640554252359391,FP:0.13594457476406088,FN:0.07813244402096237
Train Step:24,Loss:0.1898153596311465,ACC:0.8929396593412497,MCC:0.7881568916313714,AUC:0.951675302512479,TP:0.9408713143825101,TN:0.8435437237466586,FP:0.15645627625334133,FN:0.05912868561748981
Train Step:25,Loss:0.18013426036755928,ACC:0.8914889044113696,MCC:0.7832228493747679,AUC:0.9499764144841673,TP:0.9164681594410037,TN:0.8657465495608532,FP:0.1342534504391468,FN:0.08353184055899635
Train Step:26,Loss:0.17052653029389764,ACC:0.8855515555316749,MCC:0.7718086205143754,AUC:0.9445014557571954,TP:0.918267958287015,TN:0.8518356881784954,FP:0.14816431182150455,FN:0.08173204171298502
Train Step:27,Loss:0.15999901233904662,ACC:0.8856321530277793,MCC:0.7711578435630961,AUC:0.946768656403787,TP:0.9002699698269017,TN:0.8705471605477061,FP:0.12945283945229394,FN:0.0997300301730983
Train Step:28,Loss:0.15161242758234342,ACC:0.880044059964537,MCC:0.7600278356893819,AUC:0.9432954755403476,TP:0.8822719813667884,TN:0.8777480770279854,FP:0.12225192297201462,FN:0.11772801863321158
Train Step:29,Loss:0.14200268140512293,ACC:0.8799903283004674,MCC:0.7598398728313216,AUC:0.9443301922431862,TP:0.8874596368641152,TN:0.872292837270198,FP:0.12770716272980198,FN:0.11254036313588481
